dialogue,ground_truth,zero_shot_summaries,one_shot_summaries
"Lucas: hi, what ru doing tonight?   Ivy: hey, nothing special really. Why RU asking?   Lucas: I've heard that there is a cool concert in the Irish Pub at 7   Ivy: hmm..not sure if I can go, I still need to study a bit   Ivy: the exam is on Thursday   Lucas: oh come on, it's Monday!   Ivy: idk, perhaps I could go   Ivy: but I won't stay long :)   Lucas: oh right, as long as you come even for a bit   Ivy: <3 <3 <3",Lucas invites Ivy to a concert in a pub at 7. Ivy cannot stay long but will join Lucas.,   Lucas asked Ivy what she was doing tonight and she said she was not doing anything special. Lucas then told her about a cool concert at the Irish,"   Lucas: haha ok, see you there!   Lucas invited Ivy to a concert at the Irish Pub, but Ivy is unsure if she can go"
Victor: do you need me to pick you up from the airport   David: that would be neat   Victor: what time are you landing   David: 17:30 at Sevilla   Victor: SEVILLA???   David: yeah sorry   David: Jerez was too expensive   David: you don't have to pick me up if you can't   Victor: no its ok,David is landing in Sevilla instead of Jerez at 17:30 as it was too expensive. Victor will pick him up from the airport.,", I'll pick you up   Victor offered to pick up David from the airport, and David accepted. David was originally planning to land at Jerez"," i'll be there     Victor offered to pick up David from the airport, but was surprised to learn that David was landing in Sevilla instead of"
Joseph: I have a surprise for you!   Sara: Sweet <3 I'm curious.   Joseph: You always are...,Joseph has a surprise for Sara.,"   Joseph is planning a surprise for Sara, who is excited and curious. Joseph remarks that she is always curious.","   Sara: What is it?   Joseph: You'll have to wait and see!     Joseph has a surprise for Sara, but she will have"
"Cindy: Hi Peter, the invitation for the New Year's party will be waiting for you at the office until 5PM tomorrow.   Peter: Ok, thanks for letting me know. Who should ask about it?   Cindy: It will be waiting for you at my desk. Do you know where to find me?   Peter: Of course, I'll drop by tomorrow!",Peter will pick up the invitation to the New Year's party at the office tomorrow by 5 pm.,"   Cindy informs Peter that the invitation for the New Year's party will be waiting for him at her desk until 5PM tomorrow, and Peter confirms","     In this conversation, Cindy informs Peter that the invitation for the New Year's party will be waiting for him at her desk until 5PM the next"
"Brad: Hey, do you remember me?   Claudia: No, not quite   Claudia: Should I?   Brad: We've met during the conference last month.   Brad: You should remember me.   Claudia: Wait a second...   Claudia: Oh yes, Brad from morning session.   Claudia: There must be a reason why you write.   Brad: Indeed, I enjoyed your presentation, but I forgot to ask you about sources you had used.   Claudia: Thank you for kind words. Here:   Claudia: <file_other>   Brad: Thank you so much. That means a lot.   Claudia: I'm glad I could help :)   Brad: Goodbye :)",Brad and Claudia met at the conference. Brad liked Claudia's presentation and wants to know the sources she used. ,   Brad and Claudia had met at a conference last month and Brad had enjoyed Claudia's presentation. Brad reached out to Claudia to ask her about the sources she,   Brad and Claudia had met during a conference last month. Brad enjoyed Claudia's presentation and reached out to her to ask about the sources she had used.
"Yasmin: Thank you guys for tonight, it was the best party ever! <3   Paris: <file_gif>   Daphne: <3 <3 <3   Cam: we have to do this more often!   Xana: It was a BLAST!","Yasmin, Paris, Daphne, Cam and Xana were at a great party tonight.","   Yasmin, Paris, Daphne, Cam, and Xana all had a great time at the party and agreed that it was the best","   Yasmin, Paris, Daphne, Cam, and Xana all had a great time at the party and want to do it again soon"
Lolita: High handsome send me a selfie!   Hugh: How old are you?   Lolita: 15 and you?    Hugh: Too old for you. And you are too young to be flirting about on line. Get on with your school work.   Lolita: LOL OK Granddad.,Hugh doesn't want to send Lolita a selfie because she is too young.,"   Hugh scolded Lolita for flirting online and told her to focus on her school work instead. Lolita jokingly responded by calling him ""","   In this conversation, Lolita asked Hugh to send her a selfie, but Hugh asked her how old she was. When Lolita revealed she was 15"
"Adam: Hey Charlie, gotta question for you.   Charlie: Hey man, what's up?   Adam: I'm having an issue. I just dropped Godwin who was on my bench and picked up Baron who plays tonight.Now it won't let me use Baron this week. Do you know why?   Charlie: Ya. Yahoo won't let you do that.   Adam: I have done it in the past.   Charlie: I can change it for ya.   Adam: Cool thanks. When did that change?   Charlie: It's been a while, probably like five years ago. I've been doing it manually since then because it's a bullshit rule.   Adam: Good to know. I appreciate it man!   Charlie: No worries. Essentially they won't let you make any changes after Sunday night for this week. We've always had people wait until Monday though.   Adam: Thanks for all the info!   Charlie: Sure. You should be good to go now.   Adam: Great. Thanks again   Charlie: Ya, always ask with stuff like that","Adam has a problem with using Baron, because Yahoo introduced a new rule five years ago. He asks Charlie for help. Charlie helps Adam.",".   Adam asked Charlie why he was unable to use Baron, who he had just picked up, in the current week. Charlie explained that Yahoo had a",.   Adam had an issue with his fantasy football team and asked Charlie for help. Charlie explained that Yahoo won't let him make changes after Sunday night and
"Duncan: Can't find my yellow bow tie   Duncan: Have you seen it?   Jerry: Justin borrowed it from you, don't you remember?   Duncan: Of course! It seems that I'm living in La La Land   Jerry: Haha :D Time to come down to earth, bro   Duncan: Right :D",Justin borrowed Duncan's yellow bow tie.,"   Duncan had lost his yellow bow tie and asked Jerry if he had seen it. Jerry reminded him that Justin had borrowed it, and Duncan remembered.",   Duncan has misplaced his yellow bow tie and Jerry reminds him that Justin borrowed it. Duncan jokes that he is living in La La Land and Jerry laughs
"Barbara: I know it's late, but I can see you're still online   Barbara: I wanted yo ask you to send me those pics you took today   Jimmy: Ahh. Ok. I will send it to you by mail. There are too many of the to send them here   Barbara: Ok. Thanks a lot :)   Jimmy: <file_photo> But this sexy girl has to land here :D   Barbara: Oh stop it you :-]",Jimmy sent pictures he took today to Barbara on her request.,"   Barbara asked Jimmy to send her the photos he took earlier that day, and Jimmy agreed to send them by mail since there were too many to send","     Barbara asked Jimmy to send her the photos he took today, but Jimmy said there were too many to send them online. Jimmy then sent Barbara"
"Hillary: Hey, girls! U remembered to pick up ur dresses, right?   Jess: Sure did :)   Lona: Not entirely.   Hillary: Lona, y?   Lona: Well, I went to the shop, but the dress wasn't there.   Morgan: Had a similar problem. Mine was there, but the size was not right.   Hillary: R u both joking?!   Lona: No. Wouldn't dare.   Morgan: Me neither.   Jess: Dunno y. Mine was there, w8ing.   Hillary: Calling them now. Furious.   Hillary: So, turns out they've sent ur dress to another shop on the other side of town.    Lona: Mine?   Hillary: Yup.   Morgan: What about mine?   Hillary: Yours will be ready on time. Pick up at the same place.   Lona: So, Morgan and I will have to go to the other location?   Hillary: Seems so. ",Jess picked up her dress. Morgan and Lona weren't available. Hillary called the dress shop. Lona and Morgan will have to pick up their dresses on the other side of town. ,   Hillary was surprised to find out that Lona and Morgan had issues with their dresses. Lona's dress was not at the shop and Morgan's dress,"   In this conversation, Hillary is trying to figure out why Lona and Morgan did not pick up their dresses. It turns out that Lona's dress"
"Monika: say hi to your new Facebook friend, Monika   Keith: Hi, Monika.   Monika: Hello. Do I know you from somewhere?   Keith: Yes, you remember, I am Sophie's dad. Our kids were friends at school.    Monika: Sophie from England?   Keith: That's right, you do remember.   Monika: I remember your Sophie punching my Paweł in the face, and me complaining to the school about it. How is she, anyway? Has she managed to stay out of prison?   Keith: Yes, she is in Croatia now, for the holiday. She only punched him in the face because he was hitting her, by the way.   Monika: Yes, but he was only hitting her because he liked her. But when she punched him back she broke his glasses, and you refused to pay for a new pair.   Keith: That's right! So glad you remember us.","Monika's son Paweł and Keith's daughter Sophie were going to school together. Paweł used to hit Sophie, because he liked her. Sophie hit Paweł back once and broke his glasses. Keith refused to pay for Paweł's glasses. Sophie is in Croatia now for holidays. ","   Monika and Keith are reconnecting after a long time apart. Monika remembers Keith's daughter, Sophie, from school and recalls an incident where Sophie","     In this conversation, Monika and Keith are discussing their children, Sophie and Paweł, who were friends at school. Monika remembers Sophie"
